Type,Id,Path,Count,Level,Extra
Texture,COMPONENT_TYPE_TEXTURE_DEFAULT,../../Client/Bin/Resources/Textures/Default%d.jpg,2,MainTitle,
Texture,COMPONENT_TYPE_TEXTURE_TERRAIN,../../Client/Bin/Resources/Textures/Terrain/Tile%d.dds,1,Static,
Texture,COMPONENT_TYPE_TEXTURE_MAIN_TITLE,../../Client/Bin/Resources/Textures/UI/MainTitle/MainTitle%d.png,2,Static,
Texture,COMPONENT_TYPE_TEXTURE_MAIN_TITLE,../../Client/Bin/Resources/Textures/UI/MainTitle/MainTitle_Logo.png,1,Static,
Texture,COMPONENT_TYPE_TEXTURE_MAIN_TITLE,../../Client/Bin/Resources/Textures/UI/MainTitle/MainTitle_Text%d.png,3,Static,
Texture,COMPONENT_TYPE_TEXTURE_PLAYER,../../Client/Bin/Resources/Textures/Clip_Icon%d.png,2,Static,
Texture,COMPONENT_TYPE_TEXTURE_MONSTER,../../Client/Bin/Resources/Textures/Clip_Icon%d.png,2,Static,
Texture,COMPONENT_TYPE_TEXTURE_LOADING,../../Client/Bin/Resources/Textures/UI/Loading_Screen/Textures/T_UI_LoadingScreen_%03d_BC.png,2,Static,
Texture,COMPONENT_TYPE_TEXTURE_SKILL_ICON,../../Client/Bin/Resources/Textures/UI/PlayerStats/T_UI_Skill_Gauge_Base%d_BC.png,2,Static,
Texture,COMPONENT_TYPE_TEXTURE_SKILL_ICON,../../Client/Bin/Resources/Textures/UI/Skill_Icon/Skill_Icon%d.png,2,Static,
Texture,COMPONENT_TYPE_TEXTURE_PLAYER_STATUS,../../Client/Bin/Resources/Textures/UI/PlayerStats/T_UI_SP_Gauge_Base_BC.png,1,Static,
Texture,COMPONENT_TYPE_TEXTURE_PLAYER_STATUS,../../Client/Bin/Resources/Textures/UI/PlayerStats/life_gauge_masc.png,1,Static,
Texture,COMPONENT_TYPE_TEXTURE_PLAYER_STATUS,../../Client/Bin/Resources/Textures/UI/PlayerStats/life_gauge_masc_Body.png,1,Static,
Texture,COMPONENT_TYPE_TEXTURE_LOADING,../../Client/Bin/Resources/Textures/UI/Loading_Screen/Textures/T_UI_Load_Icon_BC.png,1,Static,
Texture,COMPONENT_TYPE_TEXTURE_LOADING,../../Client/Bin/Resources/Textures/UI/Loading_Screen/Textures/T_UI_LoadIndicator_Base_BC.png,1,Static,
,,,,,
